Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
02-01-2018,10:56:33,8.0,37077.0,Female,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,46.0,4.6,Medium,credit_card
24-07-2018,20:41:37,2.0,59173.0,Female,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.3,112.0,11.2,Medium,credit_card
08-11-2018,08:38:49,8.0,41066.0,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,5.0,0.1,31.2,3.1,Critical,credit_card
18-04-2018,19:28:06,7.0,50741.0,Female,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.3,26.2,2.6,High,credit_card
13-08-2018,21:18:39,9.0,53639.0,Female,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.3,160.0,16.0,Critical,credit_card
09-07-2018,21:57:05,8.0,39783.0,Female,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.3,24.0,2.4,Critical,credit_card
16-05-2018,13:10:30,1.0,26767.0,Female,Web,Member,Auto & Accessories,Car Mat,54.0,1.0,0.3,54.0,5.4,High,credit_card
23-06-2018,18:29:09,7.0,20719.0,Female,Web,Member,Auto & Accessories,Car Seat Covers,114.0,5.0,0.2,22.6,2.3,Critical,credit_card
29-07-2018,11:55:02,7.0,46947.0,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,5.0,0.3,116.4,11.6,Critical,credit_card
16-05-2018,19:41:10,10.0,31839.0,Female,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.2,54.4,5.4,Critical,money_order
13-07-2018,19:58:11,10.0,22249.0,Female,Web,Member,Auto & Accessories,Car Speakers,211.0,4.0,0.1,122.6,12.3,Critical,credit_card
07-10-2018,10:06:19,1.0,15109.0,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,4.0,0.3,18.3,1.8,High,credit_card
25-07-2018,17:44:10,7.0,18622.0,Female,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.2,35.6,3.6,Critical,credit_card
01-12-2018,14:14:28,5.0,56296.0,Female,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.3,140.0,14.0,High,credit_card
07-10-2018,19:03:12,9.0,34138.0,Female,Web,Member,Auto & Accessories,Bike Tyres,72.0,4.0,0.1,18.0,1.8,Medium,credit_card
02-06-2018,19:00:43,10.0,51112.0,Female,Web,Member,Auto & Accessories,Car Mat,54.0,1.0,0.1,27.0,2.7,Critical,credit_card
26-03-2018,23:41:31,4.0,57057.0,Female,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.3,22.6,2.3,High,credit_card
21-04-2018,00:03:41,7.0,50942.0,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,5.0,0.3,93.3,9.3,High,credit_card
26-01-2018,15:54:26,7.0,42384.0,Female,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,46.0,4.6,Critical,credit_card
18-02-2018,14:31:30,6.0,26127.0,Female,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.2,122.6,12.3,Critical,credit_card
15-12-2018,08:52:40,4.0,14449.0,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,5.0,0.1,31.2,3.1,Critical,credit_card
03-08-2018,20:37:35,7.0,16823.0,Female,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.3,30.9,3.1,High,credit_card
08-06-2018,07:55:29,6.0,15976.0,Female,Web,Member,Auto & Accessories,Tyre,250.0,4.0,0.2,150.0,15.0,High,credit_card
09-11-2018,11:44:40,2.0,51542.0,Female,Web,Member,Auto & Accessories,Bike Tyres,72.0,4.0,0.2,18.0,1.8,Critical,credit_card
20-08-2018,23:46:53,8.0,42676.0,Female,Web,Member,Auto & Accessories,Car Mat,54.0,1.0,0.3,54.0,5.4,High,money_order
04-10-2018,00:00:13,4.0,56593.0,Female,Web,Member,Auto & Accessories,Car Seat Covers,114.0,4.0,0.2,24.9,2.5,Critical,e_wallet
